run_id,run_dir,gas_cost,train_seed,volatility,reward_kind,inventory_phi,tau,decision_stride,eval_seed,n_eval,agent,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
36160714_5,GAS_COST=2/SEED=12/36160714_5,2.0,12,0.03,inventory,50,15,100,1005,1000,PPO,-0.23618448991300636,4.074620344459323,0.0,0.0,0.0,-10.194618332693691,-28.041957855068905,-3.261466427006322,65.5181231934354,0.03,0.0672354861105531,0.07013759573603273,-0.8061989592211007,18.16161616161616,0.07142492739258058,8.202045081317692,80.76926406926407,18.56538631848724,75.01747790316313,0.6893939393939394,0.08333333333333333,3.9194205194707186,0.067,0.001,0.01,10,0.14974464591255346,0.4484607453024685,0.002,0.06453160947690864
36160714_5,GAS_COST=2/SEED=12/36160714_5,2.0,12,0.03,inventory,50,15,100,1005,1000,PPO_narrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
36160714_10,GAS_COST=2/SEED=14/36160714_10,2.0,14,0.03,inventory,0,15,100,1005,1000,PPO,-0.5541373204414114,14.031100695979262,2.7028152261403875,-28.795538954032587,16.132072992309112,-37.658654305539415,-52.15988582234902,-1.0728928565564944,1.8952857103955498,0.622,0.2122248048951284,0.0047174521509058195,-0.5541373204414114,23.382209821428567,0.08051594031745919,4.200625561671366,3.191985367063493,56.864598594105146,109.37608100239338,-1.096267361111111,0.09341141466247545,3.0406294297367116,0.99,0.03,0.3,10,7.254290999685809,7.581759103339932,0.06,-0.16666921678728802
36160714_10,GAS_COST=2/SEED=14/36160714_10,2.0,14,0.03,inventory,0,15,100,1005,1000,PPO_narrow,0.3739652311636776,11.874100504010645,0.9548084954424212,-25.218879528474872,17.035373752210358,-30.81248185322417,-39.39211324853378,-0.8756505083347546,1.5639719631193145,0.53,0.3197654054724485,2.3480719750107034e-05,0.3739652311636776,2.0,0.0,0.0,8.647085385878489,44.54186326396845,92.14939195454035,5.423029556650246,0.12007389162561577,5.088555611462752,0.827,0.015,0.15,10,5.868519082880164,5.549681684694041,0.03,0.08512783297755472
36160714_11,GAS_COST=2/SEED=14/36160714_11,2.0,14,0.03,inventory,50,15,100,1005,1000,PPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
36160714_11,GAS_COST=2/SEED=14/36160714_11,2.0,14,0.03,inventory,50,15,100,1005,1000,PPO_narrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
36160714_6,GAS_COST=2/SEED=14/36160714_6,2.0,14,0.01,inventory,0,15,100,1005,1000,PPO,42.45041255141046,17.947876161555325,42.23481326777198,13.126887806618681,71.92612989899786,6.198006655398472,-5.1278634368366856,0.07681867604066954,0.009427059391941661,0.992,0.0,5.490264050555738e-165,42.45041255141046,4.043100000000001,2.348630331007763,1.4041482792070072,-0.023550000000000067,26.818573355632836,9.669839083330187,-0.06584087301587302,2.739841534451049,1.263969222418881,6.935,5.935,59.35,10,66.89599487365767,12.307778519805936,11.87,-0.267803802441287
36160714_6,GAS_COST=2/SEED=14/36160714_6,2.0,14,0.01,inventory,0,15,100,1005,1000,PPO_narrow,50.20758331068539,20.768469525232423,49.260028224540065,17.664060703378414,84.6504346136926,9.840357513822601,-2.993686315565719,0.18535139315191765,0.056757698061868034,0.996,0.0,4.613228467302368e-165,50.20758331068539,1.999,0.003000000000000005,0.009949874371066208,0.6720999999999999,26.636872753288248,9.758943415657251,0.03414841269841269,1.8521427674886737,0.7925521871583527,8.624,7.624,76.24,10,79.71812043930755,13.887861481722215,15.248,-0.3746756468999461
36160714_7,GAS_COST=2/SEED=14/36160714_7,2.0,14,0.01,inventory,50,15,100,1005,1000,PPO,28.70387621603129,14.766398552256266,27.54590322030424,6.990007118904913,54.542276679309396,1.7594136865219208,-6.145055225034457,0.47956139722544977,0.5115615598341745,0.986,0.0,1.2905188056712823e-164,12.116419555813279,13.3391,6.4900356778948405,3.3053685407228044,-6.031350000000001,27.345997197356468,10.39590687133643,-3.331426190476191,4.229483803250756,1.7440307420298675,5.872,4.872,48.72,10,48.30060377847993,9.681820893207558,9.744,-0.17090666924108514
36160714_7,GAS_COST=2/SEED=14/36160714_7,2.0,14,0.01,inventory,50,15,100,1005,1000,PPO_narrow,46.62110647383453,19.69873345909244,45.282098404807584,16.490830929839063,81.54387550540478,9.456189675121037,-1.351528927346601,0.22957789181546315,-0.15163177234372638,0.996,0.0,4.2160011735663175e-165,23.935805093301493,1.9841000000000002,0.03402062916156472,0.05636656810557123,-2.31155,27.027443012874276,10.030064511133515,-0.7231392857142858,2.3569039646232244,1.0617807689564467,7.656,6.656,66.56,10,73.29556617890927,13.046854491908597,13.312,-0.3156052131661586
