gas_cost,volatility,reward_kind,inventory_phi,agent,mean_pnl,std_pnl,median_pnl,skew_pnl,kurt_pnl,profitable_frac,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,rebalances_per_ep,rebalance_rate_pct,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,attrib_hodl,attrib_fees,attrib_il,attrib_gas,risk_profile
2,0.02,inventory,80.0,CDM,-39.33,50.64,-26.16,-1.98,6.1,0.176,29.533,3.252,0.492,0.11,14.773,4.419,28.55,2.86,-2.876,5.288,1.86,29.55,-0.48,53.77,35.52,57.1,phi=80
2,0.02,inventory,80.0,PPO,0.76,2.65,0.0,-0.03,6.44,0.32,25.11,0.008,3.219,-17.637,0.416,44.472,0.0,0.01,-1.974,0.001,2.141,0.38,0.0,1.55,0.8,0.0,phi=80
2,0.02,inventory,80.0,PPO_narrow,0.14,1.42,0.0,6.63,83.98,0.026,2.0,0.0,0.0,-21.51,17.735,45.087,0.01,0.09,1.976,0.811,4.394,0.04,0.01,0.27,0.12,0.02,phi=80
2,0.025,inventory,20.0,DeployWide,0.81,18.36,4.94,-1.03,1.35,0.656,30.0,0.0,0.0,5.466,84.24,130.884,0.0,0.0,0.0,0.0,0.0,1.0,-0.55,11.03,9.67,0.0,phi=20
2,0.025,inventory,20.0,ArrivalRebalance,-1.35,23.3,-0.59,-0.43,0.92,0.488,2.0,0.0,0.0,0.793,43.337,18.484,6.0,0.6,0.0,0.0,0.0,7.0,-0.67,37.86,26.56,11.99,phi=20
2,0.025,inventory,20.0,DeployNarrow,2.89,19.43,4.84,-0.73,1.23,0.674,2.0,0.0,0.0,5.466,84.24,130.884,0.0,0.0,0.0,0.0,0.0,1.0,-0.51,13.44,10.05,0.0,phi=20
2,0.025,inventory,20.0,CDM,-4.63,18.62,0.0,-1.2,2.44,0.401,1.027,0.552,0.046,-22.88,83.82,125.278,1.9,0.19,-12.12,3.024,2.768,2.9,-0.01,10.86,11.69,3.79,phi=20
2,0.025,inventory,20.0,PPO,1.06,7.24,0.04,-1.01,4.27,0.523,13.43,0.864,5.004,-10.148,18.847,58.74,0.2,2.01,-1.786,0.796,5.263,0.97,-0.2,4.88,3.22,0.4,phi=20
2,0.025,inventory,20.0,PPO_narrow,2.8,7.8,0.78,0.27,2.99,0.547,2.0,0.0,0.0,-6.638,16.012,59.512,0.08,0.76,0.383,0.086,0.885,0.8,-0.12,6.17,3.1,0.15,phi=20
2,0.025,inventory,50.0,DeployWide,0.81,18.36,4.94,-1.03,1.35,0.656,30.0,0.0,0.0,5.466,84.24,130.884,0.0,0.0,0.0,0.0,0.0,1.0,-0.55,11.03,9.67,0.0,phi=50
