gas_cost,volatility,inventory_phi,agent,n_seeds,mean,p5_mean,p95_mean,std,p5_std,p95_std,cvar5_mean,cvar5_std,cvar1_mean,cvar1_std,std_pnl_mean,min,max,range,cv_pct
4.0,0.03,0,ArrivalRebalance,10,-22.624762571287203,-66.37704590316031,14.702360768320451,0.0,0.0,0.0,-88.46793780163497,0.0,-120.96502701477138,0.0,25.96753009388875,-22.624762571287203,-22.624762571287203,0.0,0.0
4.0,0.03,0,CDM,10,-3.437448603494441,-42.564194855707065,22.115380500426067,0.0,0.0,0.0,-57.1777186049395,0.0,-77.99773849329829,0.0,20.22734960618237,-3.4374486034944414,-3.4374486034944414,0.0,0.0
4.0,0.03,0,DeployNarrow,10,0.0964713179157136,-39.48090507159393,30.51672447722992,0.0,0.0,0.0,-56.168761744772,0.0,-77.51757365376551,0.0,21.608472923836356,0.0964713179157136,0.0964713179157136,0.0,0.0
4.0,0.03,0,DeployWide,10,-2.1249120924062783,-40.699911794290735,23.251087766135786,0.0,0.0,0.0,-57.32995524756137,0.0,-78.77373364024155,0.0,20.711410886736758,-2.1249120924062783,-2.1249120924062783,0.0,0.0
4.0,0.03,50,ArrivalRebalance,10,-22.624762571287203,-66.37704590316031,14.702360768320451,0.0,0.0,0.0,-88.46793780163497,0.0,-120.96502701477138,0.0,25.96753009388875,-22.624762571287203,-22.624762571287203,0.0,0.0
4.0,0.03,50,CDM,10,-3.437448603494441,-42.564194855707065,22.115380500426067,0.0,0.0,0.0,-57.1777186049395,0.0,-77.99773849329829,0.0,20.22734960618237,-3.4374486034944414,-3.4374486034944414,0.0,0.0
4.0,0.03,50,DeployNarrow,10,0.0964713179157136,-39.48090507159393,30.51672447722992,0.0,0.0,0.0,-56.168761744772,0.0,-77.51757365376551,0.0,21.608472923836356,0.0964713179157136,0.0964713179157136,0.0,0.0
4.0,0.03,50,DeployWide,10,-2.1249120924062783,-40.699911794290735,23.251087766135786,0.0,0.0,0.0,-57.32995524756137,0.0,-78.77373364024155,0.0,20.711410886736758,-2.1249120924062783,-2.1249120924062783,0.0,0.0
6.0,0.01,0,ArrivalRebalance,10,12.250603275290802,-18.367380969824517,48.00494194436986,0.0,0.0,0.0,-24.09288431296657,0.0,-33.42036328629992,0.0,19.581694640739894,12.250603275290802,12.250603275290802,0.0,0.0
6.0,0.01,0,CDM,10,-6.433423364295349,-39.86375739196604,23.64496270684925,0.0,0.0,0.0,-51.76011329602695,0.0,-65.99030782797877,0.0,19.55984575346893,-6.43342336429535,-6.43342336429535,0.0,0.0
